sExpr,Sharpe,Ret,TO,Margin,DD,DD_Len,MRate,AdjTO,LSharpe,SSharpe,LRet,SRet,LMrate,SMrate,LSB,totalSortPnlRatio,sectorSortPnlRatio,groupSortPnlRatio,groupTopPnlRatio
"SST_TM40Test1_181_27675::-sub(ts_norm(x2,1110),ts_norm(x1,1110));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.161518424749374,1.06520771980286,1.37689816951752,4.54540872573853,0.0393062829971313,107,0.497990429401398,2.76490902900696,0.0859198421239853,0.111021094024181,0.45062530040741,0.614582598209381,0.142986059188843,0.142497301101685,0.000488758087158203,0.862855911254883,1.65329968929291,4.46005964279175,0.126845166087151
"SST_TM40Test1_181_13933::rsi(ts_detrend(x1,3),ts_detrend(x2,3));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 60::ema1_1 0.008100001287::no_neu::general_nor::20110104::20180102",0.185709416866302,1.36845409870148,2.56180238723755,3.13852119445801,0.0413232892751694,62,0.498147308826447,5.14266014099121,0.108624339103699,0.118693768978119,0.636414170265198,0.732040166854858,0.141554862260818,0.144952088594437,-0.00339722633361816,0.734267592430115,1.49064087867737,4.04515361785889,0.116151407361031
"SST_TM40Test1_181_47921::power_(mul(div(ts_detrend(x3,4),abs(ts_std(x2,1110))),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 3 TCFBaseClean 1::ma_1 120::ema1_1 0.02700000322::no_neu::general_nor::20110104::20180102",0.187595024704933,1.43854701519012,2.90385007858276,2.91065192222595,0.056490421295166,117,0.508287608623505,5.71300649642944,0.115433596074581,0.121970742940903,0.649744510650635,0.788802742958069,0.143367633223534,0.152084112167358,-0.00871647894382477,0.739794552326202,1.35819506645203,3.59514951705933,0.129632994532585
"SST_TM40Test1_181_18132::power_(ts_norm(div(x2,abs(ts_avg(x1,555))),1665),0.5);2 TCFBaseClean 7 TCFBaseClean 5::ma_1 20::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.0987735912203789,0.495537161827087,0.291337311267853,9.99356842041016,0.0861954391002655,268,0.521529912948608,0.558620512485504,0.0464039370417595,0.0541375800967216,0.219658330082893,0.275878727436066,0.153168112039566,0.142774552106857,0.0103935599327087,1.31718111038208,2.72675204277039,8.60811996459961,0.193105250597
"SST_TM40Test1_181_12062::ts_norm(mul(ts_detrend(x1,2),abs(ts_detrend(x2,2))),900);2 TCFBaseClean 4 TCFBaseClean 2::ma_1 20::ema1_1 1::no_neu::general_nor::20110104::20180102",0.176274597644806,1.34759855270386,2.73547720909119,2.89446210861206,0.054850909858942,145,0.505959093570709,5.40651845932007,0.104073025286198,0.116932474076748,0.572166562080383,0.775432229042053,0.146185293793678,0.149612545967102,-0.00342725217342377,0.822191715240479,1.57924735546112,3.92163062095642,0.122098796069622
"SST_TM40Test1_181_14017::rsi(ts_detrend(x1,6),ts_detrend(x2,6));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 60::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.176352709531784,1.2683117389679,2.84949088096619,2.61516547203064,0.055188775062561,100,0.495956391096115,5.74544620513916,0.0912486538290977,0.122667886316776,0.520809054374695,0.747502326965332,0.141643479466438,0.144244834780693,-0.00260135531425476,0.785682857036591,1.642422914505,4.30342769622803,0.109477460384369
"SST_TM40Test1_181_14266::-mul(ts_avg(ts_ret(x1,1),300),abs(ts_corr(ts_avg(ts_ret(x1,1),300),x2,1110)));2 TCFBaseClean 7 TCFBaseClean 1::ma_1 300::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.1086650416255,0.791550636291504,0.7369504570961,6.31074810028076,0.0634930431842804,202,0.487427115440369,1.51191926002502,0.0712936669588089,0.0548493899405003,0.464108407497406,0.327442288398743,0.14186879992485,0.124400906264782,0.0174678936600685,1.29372572898865,2.59033441543579,6.05833625793457,0.142792835831642
"SST_TM40Test1_181_22785::power_(ts_norm(div(ts_detrend(x2,4),abs(x1)),1110),0.5);2 TCFBaseClean 7 TCFBaseClean 2::ma_1 60::ema1_1 1::no_neu::general_nor::20110104::20180102",0.120499230921268,0.768586397171021,1.00854897499084,4.47750568389893,0.0354416072368622,95,0.515075385570526,1.95806074142456,0.0623922199010849,0.0813914239406586,0.309859901666641,0.45872637629509,0.146727845072746,0.148074939846992,-0.00134709477424622,1.13764894008636,2.02999687194824,5.80632495880127,0.120993837714195
"SST_TM40Test1_181_24254::div(ts_norm(x1,1110),abs(ts_std(x2,1110)));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 60::ema1_1 1::no_neu::general_nor::20110104::20180102",0.131167575716972,0.829773664474487,1.3408237695694,3.63603782653809,0.0407964549958706,119,0.526913821697235,2.54467368125916,0.0581661723554134,0.100382044911385,0.260865986347198,0.568907678127289,0.154908567667007,0.162696167826653,-0.00778760015964508,1.14281237125397,2.00246810913086,5.42584609985352,0.157214909791946
"SST_TM40Test1_181_13411::-ts_skew(mul_p(ts_avg(ts_ret(x1,1),60),10000),1665);1 TCFBaseClean 7::ma_1 225::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.0820758566260338,0.49534273147583,0.316487103700638,9.19581413269043,0.0682409405708313,268,0.527372062206268,0.600121080875397,0.037162896245718,0.0597457177937031,0.227282881736755,0.268059968948364,0.177520930767059,0.132732421159744,0.0447885096073151,1.59292340278625,3.29613041877747,8.68930053710938,0.11551558226347
